,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.79%," 192,225 "," 203,360 "
168,2/8/2019,0.07,2708.5,2713.5,2685.75,2712.75,2,2711,6597,89237,0.017636364,0.542853584,0.310982179,0.143784467,0.598551113,0.023413245,0,-0.96,1315.9,2.8105,0.002135801,-0.104181818,1.396163647,,,,,,,
169,2/11/2019,0.07,2715,2726.75,2705.5,2712.75,2,2713,3591,93470,0.057090909,0.540591755,0.31873912,0.144465042,0.607669203,0.029809036,0,-0.22,1309.2,2.79,0.002131072,-0.093090909,1.392709686,,,,,,,
170,2/12/2019,1.35,2712,2753.25,2710.5,2750,36.75,2749.75,7775,96693,0.075454545,0.527112024,0.326211807,0.144419603,0.615051012,0.037372601,0,-0.8,1311.3,2.772,0.002113933,-0.116,1.393805874,,,,,,,
171,2/13/2019,0.17,2748.25,2767.5,2748.25,2754.25,4.75,2754.5,7227,100801,0.091818182,0.525532667,0.333544071,0.144109909,0.62176389,0.045324252,0,-0.05,1312.4,2.773,0.002112923,-0.105636364,1.392107068,,,,,,,
172,2/14/2019,-0.24,2754.25,2767.5,2734.5,2746,6.5,2748,3388,103425,0.059272727,0.53329518,0.341234171,0.143261074,0.627756318,0.054712024,0,0.12,1311.3,2.774,0.002115458,-0.096727273,1.391951807,,,,,,,
173,2/15/2019,1.24,2745,2783.25,2733.25,2782,34,2782,5779,104678,0.072727273,0.540217383,0.349231832,0.141835258,0.632902347,0.065561316,0,0.29,1319.1,2.7985,0.002121522,-0.072727273,1.386933007,,,,,,,
174,2/19/2019,0.05,2784,2792.25,2770.75,2782.75,1.5,2783.5,6050,106290,0.034181818,0.514161048,0.355693533,0.141090955,0.637875443,0.073511624,0,1.05,1340.8,2.8745,0.002143869,-0.097636364,1.353227915,,,,,,,
175,2/20/2019,0.29,2781,2795,2778.25,2791.5,8,2791.5,6070,110033,0.038,0.512767806,0.362146316,0.139987136,0.642120587,0.082172045,0,1.33,1344.1,2.92,0.002172457,-0.065454545,1.365922315,,,,,,,
176,2/21/2019,-0.46,2791.25,2802.5,2768.5,2779,12.75,2778.75,12183,113923,0.020363636,0.506605464,0.368506467,0.138422383,0.645351233,0.0916617,0,0.67,1324.6,2.897,0.002187075,-0.059454545,1.368458741,,,,,,,
177,2/22/2019,0.62,2777.25,2800.5,2775,2800.5,17.25,2796,10900,112557,0.010181818,0.514926744,0.375119384,0.136524283,0.648167951,0.102070818,0,1.49,1329.7,2.9515,0.002219674,-0.026545455,1.383755248,,,,,,,
178,2/25/2019,0.22,2804,2819.5,2799.5,2800.75,6.25,2802.25,18310,111698,0.072363636,0.47903217,0.379886507,0.135468683,0.650823873,0.108949141,0,0.02,1326.5,2.945,0.002220128,0.016909091,1.345806756,,,,,,,
179,2/26/2019,-0.19,2800.25,2809,2788.75,2794.25,5.25,2797,19580,121820,0.068909091,0.481454179,0.384906806,0.133988514,0.652883835,0.116929778,0,0.09,1325.3,2.945,0.002222138,0.001454545,1.339877576,,,,,,,
180,2/27/2019,0.12,2792.5,2802.25,2780.5,2801.75,3.25,2800.25,11311,129300,0.078545455,0.478098692,0.389798323,0.132350984,0.654500291,0.125096356,0,0.91,1321.2,2.9625,0.00224228,0.038727273,1.336044541,,,,,,,
181,2/28/2019,-0.37,2799.5,2800.5,2787.25,2792.25,10.25,2790,22765,136420,0.109272727,0.48502421,0.39485623,0.130532615,0.655921459,0.133791001,0,-0.04,1316.1,2.95,0.002241471,0.040909091,1.335811964,,,,,,,
182,3/1/2019,0.73,2790.5,2814,2788.75,2811.5,20.25,2810.25,18980,142863,0.117636364,0.492641895,0.399539827,0.129307904,0.658155636,0.140924018,0,0.72,1299.2,2.933,0.002257543,0.074181818,1.329389572,,,,,,,
183,3/4/2019,-0.49,2819.25,2825.75,2772.5,2796.5,13.75,2796.5,49518,149338,0.11,0.504466801,0.404447383,0.128046046,0.660539475,0.14835529,0,0.1,1287.5,2.9095,0.002259806,0.040909091,1.304753805,,,,,,,
184,3/5/2019,0.01,2794.5,2803.75,2788.5,2794,0.25,2796.75,70874,166489,0.102363636,0.501376901,0.409305984,0.126525489,0.662356962,0.156255006,0,1.1,1284.7,2.935,0.00228458,0.063272727,1.312289566,,,,,,,
185,3/6/2019,-0.71,2792.25,2798,2773.75,2776,19.75,2777,166959,191493,0.094181818,0.505047755,0.414190088,0.124902583,0.663995255,0.164384921,0,-0.79,1287.6,2.9185,0.00226662,0.049090909,1.317301215,,,,,,,
186,3/7/2019,-0.79,2775.75,2781.75,2743.75,2754.25,22,2755,642189,275208,0.11,0.51878975,0.419500654,0.122978172,0.665456999,0.173544309,0,-0.16,1286.1,2.9105,0.002263043,0.04,1.316981678,,,,,,,
187,3/8/2019,-0.11,2754.5,2756.75,2726.5,2753.75,3,2752,1522383,527589,0.142727273,0.505163069,0.424278903,0.121058551,0.666396006,0.182161801,0,-1.59,1299.3,2.8935,0.002226968,0.031818182,1.325816437,,,,,,,
188,3/11/2019,1.34,2750.5,2792.5,2741.75,2790.75,37,2789,1923885,920520,0.179636364,0.512638353,0.429152849,0.119069337,0.667291523,0.191014174,0,0.9,1291.1,2.901,0.002246921,0.108181818,1.249093139,,,,,,,
189,3/12/2019,0.3,2790,2803.25,2785.5,2799,8.25,2797.25,1780620,1628211,0.209090909,0.559431655,0.43538538,0.116687365,0.66876011,0.202010651,0,0.4,1298.1,2.9285,0.00225599,0.082363636,1.227544921,,,,,,,
190,3/13/2019,0.8,2797.75,2826.5,2788.25,2820.75,22.25,2819.5,1592906,2080108,0.236909091,0.544523267,0.441330465,0.113673749,0.668677963,0.213982967,0,-0.69,1309.3,2.9335,0.00224051,0.100545455,1.208058464,,,,,,,
191,3/14/2019,-0.26,2821,2825,2808.5,2812.5,7.25,2812.25,1231571,2303495,0.285454545,0.570903318,0.448005162,0.110192476,0.668390114,0.22762021,0,-0.39,1295.1,2.8905,0.002231874,0.096,1.209449829,,,,,,,
192,3/15/2019,0.62,2813.5,2836.5,2812.5,2830,17.5,2829.75,1342069,2367504,0.348909091,0.550682792,0.453839152,0.106870611,0.667580374,0.24009793,0,-0.12,1302.9,2.9045,0.002229258,0.120545455,1.190632291,,,,,,,
193,3/18/2019,0.57,2831.25,2847,2828.75,2846.5,11,2845.75,1044,9037,0.258363636,0.606073284,0.459897016,0.10586209,0.671621196,0.248172835,0,0.21,1301.5,2.9075,0.002233961,0.100545455,1.179468522,,,,,,,
194,3/19/2019,-0.15,2847.75,2863.25,2834,2842.5,4.25,2841.5,1669,9266,0.238,0.651904287,0.467191011,0.105000702,0.677192415,0.257189606,0,0.08,1306.5,2.921,0.002235744,0.135636364,1.148670348,,,,,,,
195,3/20/2019,-0.33,2841.5,2854.25,2822.5,2829,9.5,2832,2276,9904,0.238545455,0.653683832,0.474841846,0.102922134,0.680686114,0.268997578,0,0.27,1301.7,2.918,0.002241684,0.133636364,1.14833271,,,,,,,
196,3/21/2019,1.25,2829,2870.75,2819.5,2865.5,35.5,2867.5,1371,10954,0.247272727,0.665317452,0.483345113,0.098834149,0.681013411,0.285676815,0,-0.96,1307.3,2.9025,0.002220225,0.153272727,1.119343482,,,,,,,
197,3/22/2019,-1.81,2865.75,2869.5,2810.25,2811.5,52,2815.5,3168,11062,0.209818182,0.698760064,0.492553846,0.094722079,0.681998004,0.303109689,0.016762061,-2.59,1312.3,2.838,0.002162615,0.113636364,1.176782122,,buy,68," (191,454)",,,
198,3/25/2019,-0.15,2817.75,2822.5,2794,2813,4.25,2811.25,3397,13756,0.253272727,0.64880155,0.500073881,0.090223444,0.680520769,0.319626992,0,-0.31,1322.6,2.8515,0.002155981,0.162,1.099849148,,sell,-68," 191,165 ",,,
