,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,,"147,095",-11.72%,,,
238,5/28/2009,1.41,886.5,904,881.5,900.5,,900.5,14550,126878,0.434545455,0.467232486,0.403852352,0.048913074,0.5016785,0.306026204,0,-0.11,963.2,2.137,0.002218646,0.349636364,2.808915676,,sell,-165,"148,583",B,,,,,
239,5/29/2009,1.44,899.75,921.75,898,913.5,,913.5,13309,132541,0.382181818,0.488240817,0.405740855,0.05013689,0.506014634,0.305467075,0,1.04,980.3,2.1975,0.002241661,0.460545455,2.710050852,,,,,,,,,,
240,6/1/2009,2.3,916.5,942.75,912.25,934.5,,934.5,20515,143976,0.408727273,0.546177404,0.409297179,0.053006684,0.515310548,0.30328381,0.030866857,5.56,980,2.319,0.002366327,0.588363636,2.782135979,,buy,158,"-147,651",B,,,,,
241,6/2/2009,0.37,934.5,944,930,938,,938,31706,152432,0.416727273,0.543453511,0.412515485,0.055663732,0.523842949,0.301188022,0.019610562,-1.37,984.4,2.2975,0.002333909,0.530909091,2.789480419,,,,,,,,,,
242,6/3/2009,-1.15,937.5,941.5,918,927.25,,927.25,55624,170883,0.344545455,0.577878768,0.416434959,0.059519002,0.535472963,0.297396955,0.042405805,-1.85,965.6,2.212,0.002290804,0.390181818,2.708164946,,,,,,,,,,
243,6/4/2009,0.94,927.25,937.5,923.75,936,,936,29657,180117,0.323454545,0.598252173,0.42106725,0.06351581,0.548098871,0.29403563,0.050153302,2.26,982.3,2.301,0.002342462,0.445636364,2.714770138,,,,,,,,,,
244,6/5/2009,0,936.25,953,928.75,936,,936,57376,206194,0.349818182,0.590884853,0.425386521,0.066815508,0.559017537,0.291755504,0.031867315,1.29,962.6,2.284,0.00237274,0.42,2.699703001,,,,,,,,,,
245,6/8/2009,-0.16,934.5,942.25,921.25,934.5,,934.5,77276,252926,0.384181818,0.584081146,0.429470359,0.069521458,0.568513274,0.290427443,0.015567872,-0.31,952.5,2.253,0.002365354,0.458545455,2.673262965,,,,,,,,,,
246,6/9/2009,0.11,935,942.5,930,935.5,,935.5,177889,350961,0.263636364,0.568452641,0.433254539,0.071328876,0.575912292,0.290596787,0,4.75,954.7,2.3655,0.002477742,0.551818182,2.732306779,,sell,-158,"147,809",B,,,,,
247,6/10/2009,0.11,934.5,950.75,923,936.5,,936.5,399761,616499,0.299636364,0.583345004,0.437320026,0.073403483,0.584126992,0.290513059,0,0.06,954.7,2.367,0.002479313,0.500545455,2.714207761,,,,,,,,,,
248,6/11/2009,0.19,936,952.75,932.75,938.25,,938.25,1874660,1164112,0.292363636,0.595184741,0.441789565,0.075405256,0.592600077,0.290979054,0.002584664,2.51,962,2.445,0.00254158,0.523818182,2.72604006,,buy,157,"-147,305",B,,,,,
249,6/12/2009,0.27,937.5,942.75,931.25,940.75,,940.75,1690111,1450895,0.254363636,0.599256006,0.446612417,0.076852318,0.600317053,0.292907782,0,-0.73,940.7,2.3735,0.002523121,0.535272727,2.71929311,,sell,-157,"147,698",B,,,,,
250,6/15/2009,-2.26,938.5,938.75,915.25,919.5,,919.5,2146711,1836691,0.238181818,0.604571158,0.451444795,0.078289594,0.608023984,0.294865606,0,-2.36,927.5,2.285,0.002463612,0.447636364,2.733745202,,,,,,,,,,
251,6/16/2009,-1.28,919.75,924.75,906.5,907.75,,907.75,2267554,2048921,0.286,0.617424562,0.456480894,0.079908764,0.616298421,0.296663366,0.00112614,-1.79,932.2,2.2555,0.002419545,0.399818182,2.74971008,,buy,162,"-147,056",B,,,,,
252,6/17/2009,-0.28,908,914.25,899.25,905.25,,905.25,2362146,2178606,0.268181818,0.605526039,0.461178777,0.08095013,0.623079037,0.299278517,0,-0.23,936,2.2595,0.002413996,0.448545455,2.713478305,,sell,-162,"146,651",B,,,,,
253,6/18/2009,0.88,905.5,917.75,903,913.25,,913.25,1888281,2258850,0.240181818,0.60774264,0.465781167,0.081968511,0.629718188,0.301844145,0,0.7,934.6,2.272,0.002430987,0.395454545,2.678619613,,,,,,,,,,
254,6/19/2009,0.27,912.25,923,910.75,915.75,,915.75,1623895,2261507,0.185272727,0.620999338,0.470201827,0.083677671,0.637557169,0.302846485,0,-1.12,936.2,2.2505,0.002403867,0.376,2.685790869,,,,,,,,,,
255,6/22/2009,-3.41,911.25,914,883.5,884.5,,884.5,3011,4841,0.111818182,0.621706139,0.474397012,0.085398141,0.645193294,0.303600729,0,-3.7,921,2.132,0.002314875,0.23,2.685126385,,,,,,,,,,
256,6/23/2009,0.17,883.75,889.75,880.75,886,,886,1164,5267,0.137090909,0.643284708,0.478990433,0.087576626,0.654143685,0.303837181,0,2.75,924.3,2.1985,0.002378557,0.148909091,2.533490984,,,,,,,,,,
257,6/24/2009,0.87,885.25,902.25,885.25,893.75,,893.75,2346,6298,0.189272727,0.652992294,0.483948565,0.089581923,0.663112412,0.304784718,0,2.02,934.4,2.2675,0.002426691,0.173454545,2.545145865,,,,,,,,,,
258,6/25/2009,2.1,893.25,913.25,886.5,912.5,,912.5,3319,7717,0.208363636,0.663975467,0.489122563,0.09162664,0.672375842,0.305869283,0,0.95,939.5,2.3015,0.002449707,0.184,2.547176069,,,,,,,,,,
259,6/26/2009,-0.3,912,914.5,904.5,909.75,,909.75,3319,7717,0.136363636,0.66650946,0.494370913,0.093385244,0.681141401,0.307600426,0,-0.51,941,2.2935,0.002437301,0.172363636,2.54888862,,,,,,,,,,
260,6/29/2009,0.8,908.5,920,903,917,,917,934,8093,0.147636364,0.649555017,0.499366486,0.09421561,0.687797706,0.310935267,0,1.08,942.1,2.321,0.002463645,0.120545455,2.499575088,,,,,,,,,,
261,6/30/2009,-0.63,917.25,921.75,905.25,911.25,,911.25,1568,8598,0.165636364,0.651814614,0.503596704,0.095757926,0.695112556,0.312080853,0,-0.95,928.8,2.2665,0.002440245,0.081454545,2.499192772,,,,,,,,,,
