,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.98%,"173,647","184,029",,,
193,3/19/2013,-0.28,1540.25,1544.5,1525.75,1536,,1536,1149,10263,0.148545455,0.317323298,0.27581487,0.0431991,0.362213071,0.189416669,0,-1.07,1613.3,3.396,0.002105002,-0.041636364,0.896290222,,,,,,,,,,
194,3/20/2013,0.46,1532.5,1549.5,1530.75,1543,,1543,2030,10503,0.114545455,0.3578553,0.276705405,0.044381917,0.365469238,0.187941571,0,1.44,1609.4,3.4365,0.002135268,-0.019090909,0.91781801,,,,,,,,,,
195,3/21/2013,-0.65,1543,1544.5,1530.75,1533,,1533,745,10566,0.107454545,0.37237029,0.277792778,0.04598059,0.369753957,0.185831598,0.002616333,-0.72,1615.7,3.425,0.002119824,-0.042,0.919328257,,buy,113,"-173,229",B,,,,,
196,3/22/2013,0.83,1532,1547.75,1529,1545.75,,1545.75,952,10824,0.116,0.333590253,0.277442812,0.045469235,0.368381281,0.186504342,0,1.39,1608,3.456,0.002149254,-0.043818182,0.916336286,,sell,-113,"174,670",B,,,,,
197,3/25/2013,-0.32,1545.5,1554.25,1533.25,1540.75,,1540.75,1748,11140,0.112727273,0.343917429,0.27758616,0.045669358,0.368924875,0.186247445,0,-0.5,1606.5,3.4355,0.0021385,-0.058545455,0.917053289,,,,,,,,,,
198,3/26/2013,0.67,1541,1552.25,1541,1551,,1551,1040,11923,0.130545455,0.346856704,0.277429116,0.04541061,0.368250336,0.186607895,0,0.52,1597.3,3.4335,0.002149565,-0.065818182,0.910713377,,,,,,,,,,
199,3/27/2013,-0.02,1551.25,1554.25,1540,1550.75,,1550.75,947,11958,0.125454545,0.346616737,0.277347952,0.045280337,0.367908626,0.186787279,0,-0.33,1607.2,3.4435,0.002142546,-0.066909091,0.910998379,,,,,,,,,,
200,3/28/2013,0.37,1549.5,1558.5,1544,1556.5,,1556.5,2512,12244,0.114545455,0.332003974,0.276915683,0.044626492,0.366168667,0.187662699,0,-0.49,1595.7,3.402,0.00213198,-0.055090909,0.900980685,,,,,,,,,,
201,4/1/2013,-0.43,1557.25,1558.5,1546.25,1549.75,,1549.75,760,13643,0.109818182,0.343863797,0.277507226,0.045301627,0.368110479,0.186903973,0,-1.13,1600.9,3.3745,0.002107877,-0.082181818,0.910617802,,,,,,,,,,
202,4/2/2013,0.55,1550.75,1561.5,1548.75,1558.25,,1558.25,2490,13631,0.122545455,0.369069925,0.278599696,0.046775293,0.372150282,0.185049111,0,1.71,1575.9,3.3785,0.002143854,-0.045818182,0.94157215,,,,,,,,,,
203,4/3/2013,-1.03,1559,1561.5,1537.75,1542.25,,1542.25,1058,14934,0.103272727,0.350548854,0.279527314,0.047694901,0.374917116,0.184137511,0,0.08,1553.5,3.333,0.002145478,-0.035818182,0.939902853,,,,,,,,,,
204,4/4/2013,0.39,1542.25,1551.25,1540,1548.25,,1548.25,2666,15151,0.109818182,0.350544671,0.280405437,0.04855776,0.377520956,0.183289918,0,0.63,1552.4,3.3515,0.002158915,-0.004545455,0.932765339,,,,,,,,,,
205,4/5/2013,-0.55,1547.5,1548.5,1527,1539.75,,1539.75,1630,16106,0.087636364,0.371487245,0.281526397,0.049941622,0.381409642,0.181643153,0,-1.71,1575.9,3.344,0.002121962,-0.021636364,0.95538777,,,,,,,,,,
206,4/8/2013,0.86,1539,1556,1536.75,1553,,1553,2492,16443,0.099272727,0.387280685,0.282971065,0.05182995,0.386630965,0.179311164,0.000649719,1.03,1572.5,3.371,0.00214372,0.012,0.959317659,,buy,111,"-172,383",B,,,,,
