,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,Capital
13,6/30/1998,-0.52,1162,1164,1154.75,1157,,1157,8,48,0.049272727,0.163458266,0.058877297,0.0692146,0.197306497,-0.079551904,0,-0.73,300.3,0.737,0.002454212,,,118406
14,7/1/1998,1.12,1159.75,1170,1159.75,1170,,1170,10,52,0.059090909,0.141406221,0.062333308,0.068486606,0.19930652,-0.074639903,0,-1.6,299.6,0.7235,0.002414887,,,118406
15,7/2/1998,-0.43,1167,1168,1165,1165,,1165,5,54,0.046545455,0.132776713,0.06553462,0.067566647,0.200667914,-0.069598674,0,1.3,297.2,0.727,0.002446164,,,118406
16,7/6/1998,1.2,1168.25,1180.25,1168.25,1179,,1179,10,55,0.088,0.091745566,0.067130935,0.067120342,0.201371619,-0.067109748,0,-0.8,296.5,0.7195,0.002426644,,,118406
17,7/7/1998,-0.28,1182,1182.25,1174.75,1175.75,,1175.75,8,54,0.066363636,0.083752412,0.068171715,0.066922312,0.202016338,-0.065672909,0,-0.22,298.2,0.722,0.002421194,,,118406
18,7/8/1998,1.25,1178.5,1190.5,1178.5,1190.5,,1190.5,8,57,0.078727273,0.092394739,0.069651451,0.06653361,0.202718672,-0.06341577,0,0.23,296.5,0.7195,0.002426644,,,118406
19,7/9/1998,-0.82,1185.75,1189.25,1178.75,1180.75,,1180.75,27,62,0.065454545,0.089709484,0.07139811,0.065757725,0.202913561,-0.060117341,0,0.09,294.8,0.716,0.002428765,,,118406
20,7/10/1998,0.15,1180,1187.5,1173,1182.5,,1182.5,24,74,0.053090909,0.088555231,0.072711655,0.065357285,0.203426224,-0.058002914,0,0.87,293.9,0.72,0.002449813,,,118406
21,7/13/1998,0.27,1184,1188.25,1180,1185.75,,1185.75,9,79,0.079272727,0.087415525,0.073754896,0.065121009,0.203996914,-0.056487122,0,2.5,294.7,0.74,0.002511028,,,118406
22,7/14/1998,1.16,1187.75,1201.75,1187.75,1199.5,,1199.5,32,80,0.124363636,0.082827015,0.074435705,0.065014541,0.204464788,-0.055593378,0,0.33,296.3,0.7465,0.002519406,,,118406
23,7/15/1998,-0.25,1197.25,1202.5,1196.5,1196.5,,1196.5,12,84,0.153090909,0.139241694,0.077451373,0.064080312,0.205611997,-0.050709252,0,1.97,296.8,0.7625,0.00256907,,,118406
24,7/16/1998,0.65,1198,1205.5,1191.5,1204.25,,1204.25,29,62,0.167454545,0.143807161,0.080504263,0.063145466,0.206795196,-0.045786669,0,0.17,296.3,0.7625,0.002573405,,,118406
25,7/17/1998,0.31,1204,1209.25,1204,1208,,1208,12,64,0.158181818,0.167562067,0.084709377,0.061028681,0.206766739,-0.037347985,0,0.25,297.3,0.767,0.002579886,,,118406
26,7/20/1998,-0.21,1207.5,1211.75,1200,1205.5,,1205.5,35,73,0.12,0.154968061,0.088937059,0.057533675,0.20400441,-0.026130291,0,2.06,298.9,0.787,0.002632988,,,118406
27,7/21/1998,-1.64,1208,1208.75,1183,1185.75,,1185.75,19,72,0.074181818,0.163588337,0.092688944,0.055477683,0.203644311,-0.018266422,0,-2.05,297.8,0.768,0.002578912,,,118406
28,7/22/1998,0,1186,1189.25,1175.75,1185.75,,1185.75,53,79,0.075818182,0.159345407,0.096311165,0.05311545,0.202542066,-0.009919735,0,1.54,296.9,0.7775,0.002618727,,,118406
29,7/23/1998,-2.42,1185,1186,1157,1157,,1157,56,88,0.042181818,0.151396205,0.099941579,0.049768243,0.199478065,0.000405093,0,-0.25,296.1,0.7735,0.002612293,,,118406
30,7/24/1998,0.35,1159,1168,1147.25,1161,,1161,62,95,0.066909091,0.136159548,0.102706269,0.047380231,0.197466732,0.007945807,0,4.66,293.7,0.803,0.002734082,,,118406
31,7/27/1998,0.09,1151.5,1165.25,1147.75,1162,,1162,47,95,0.088727273,0.106608293,0.104075259,0.046355936,0.196787131,0.011363387,0,-1.66,292.7,0.787,0.00268876,,,118406
32,7/28/1998,-0.65,1163,1169,1137.5,1154.5,,1154.5,52,99,0.056363636,0.1219324,0.105800974,0.045186118,0.19617321,0.015428739,0,-0.95,294.2,0.7835,0.002663154,,,118406
33,7/29/1998,-1,1149.75,1158.25,1139,1143,,1143,33,91,0.038181818,0.128578543,0.107484787,0.044251545,0.195987877,0.018981696,0,-0.54,292.4,0.7745,0.002648769,,,118406
34,7/30/1998,1.44,1150.75,1162.75,1150.75,1159.5,,1159.5,37,90,0.046181818,0.127555322,0.108728499,0.043827179,0.196382858,0.021074141,0,1.58,291.2,0.7835,0.002690591,,,118406
35,7/31/1998,-2.11,1156.5,1161.75,1132,1135,,1135,25,92,0.003454545,0.145732883,0.110256351,0.043621631,0.197499614,0.023013088,0,-0.83,288.4,0.7695,0.002668169,,,118406
36,8/3/1998,-0.35,1131.25,1140,1128,1131,,1131,33,108,0.000727273,0.151284509,0.112668635,0.042101667,0.196871969,0.028465301,0,-1.65,285.8,0.75,0.002624213,,,118406
37,8/4/1998,-3.45,1127.75,1137.25,1085.25,1092,,1092,77,110,-0.045090909,0.224928702,0.116169661,0.043290234,0.202750128,0.029589194,0.022178574,-3.03,290.4,0.739,0.002544766,,,118406
38,8/5/1998,0.62,1075,1101.25,1072.5,1098.75,,1098.75,79,139,-0.031818182,0.24895429,0.120001588,0.045530416,0.21106242,0.028940757,0.03789187,0.38,289.7,0.74,0.002554367,,,118406
39,8/6/1998,0.73,1092.75,1109.25,1091,1106.75,,1106.75,46,151,-0.020909091,0.250904171,0.123624137,0.047859113,0.219342364,0.02790591,0.031561807,0,289.3,0.739,0.002554442,,,118406
40,8/7/1998,-0.02,1105.5,1120.75,1100.25,1106.5,,1106.5,84,147,-0.039818182,0.251612624,0.127124727,0.05004218,0.227209087,0.027040368,0.024403537,1.13,288.4,0.745,0.002583218,,,118406
41,8/10/1998,-0.41,1102.5,1126.25,1097.5,1102,,1102,20,156,-0.040909091,0.255928861,0.130559444,0.052273652,0.235106748,0.026012141,0.020822113,-2.08,289.2,0.7315,0.002529391,,,118406
42,8/11/1998,-1.68,1081.75,1100.5,1069,1083.5,,1083.5,191,242,-0.065818182,0.262609681,0.13338671,0.055110096,0.243606902,0.023166518,0.019002779,-0.61,285.8,0.7185,0.002513996,,,118406
43,8/12/1998,1.43,1084,1101,1084,1099,,1099,167,274,-0.006727273,0.279847538,0.136320564,0.058493422,0.253307408,0.01933372,0.026540129,1.68,284.6,0.7275,0.002556219,,,118406
44,8/13/1998,-1.14,1102,1108.25,1086.5,1086.5,,1086.5,76,289,-0.030363636,0.290575331,0.139443752,0.062020161,0.263484074,0.01540343,0.027091257,-0.94,286.9,0.7265,0.002532241,,,118406
45,8/14/1998,-1.06,1086,1099,1073.25,1075,,1075,60,289,-0.051636364,0.281014622,0.142426911,0.064801334,0.272029578,0.012824243,0.008985044,0.63,285.5,0.7275,0.002548161,,,118406
46,8/17/1998,2.14,1067.25,1098.5,1063,1098,,1098,105,330,-0.014363636,0.283698464,0.14547657,0.06742671,0.28032999,0.010623151,0.003368474,0.47,286.7,0.734,0.002560167,,,118406
47,8/18/1998,1.78,1103,1119.5,1100.75,1117.5,,1117.5,107,330,0.023272727,0.26597161,0.148247334,0.06919951,0.286646355,0.009848314,0,-0.61,286.5,0.729,0.002544503,,,118406
48,8/19/1998,-0.56,1120,1124.5,1110.25,1111.25,,1111.25,150,408,0.012727273,0.265208612,0.151110208,0.070733206,0.292576621,0.009643795,0,1.01,284.6,0.7315,0.002570274,,,118406
49,8/20/1998,-0.65,1116,1117.5,1104,1104,,1104,74,363,0.027090909,0.28755503,0.155172034,0.072049439,0.299270911,0.011073156,0,1.34,286.4,0.746,0.002604749,,,118406
50,8/21/1998,-0.63,1105,1107,1065.25,1097,,1097,288,398,-0.014727273,0.332308415,0.160577788,0.073992916,0.30856362,0.012591957,0.023744796,-1.98,286.1,0.7305,0.002553303,,,118406
51,8/24/1998,0.73,1096,1110.75,1093.25,1105,,1105,228,427,-0.032181818,0.328182726,0.165420606,0.07609659,0.317613787,0.013227425,0.010568939,1.88,286,0.744,0.002601399,,,118406
52,8/25/1998,0.27,1102.75,1122,1100.25,1108,,1108,353,519,-0.028545455,0.32958668,0.170231977,0.077969905,0.326171788,0.014292167,0.003414893,-0.05,284.4,0.7395,0.002600211,0.035454545,1.418453537,118406
53,8/26/1998,-0.65,1106,1107.5,1089.5,1100.75,,1100.75,256,607,-0.044,0.330163218,0.174990516,0.07961182,0.334214155,0.015766876,0,-0.36,283.3,0.734,0.002590893,0.014727273,1.415698826,118406
54,8/27/1998,-4.68,1092.25,1099.75,1046.75,1049.25,,1049.25,565,686,-0.116181818,0.176079088,0.177273072,0.077755622,0.332784315,0.021761828,0,2.86,277.5,0.7395,0.002664865,0.023636364,1.432240363,118406
55,8/28/1998,-0.69,1049,1067.5,1030,1042,,1042,957,1182,-0.098363636,0.186894763,0.179313015,0.076475924,0.332264864,0.026361166,0,-2.44,277.9,0.7225,0.002599856,-0.020545455,1.47027261,118406
56,8/31/1998,-7.29,1042.5,1051,962.25,966,,966,1282,1653,-0.241272727,0.210984683,0.182093044,0.074746973,0.331586991,0.032599098,0,-1.05,278.9,0.7175,0.002572607,-0.025818182,1.473490051,118406
57,9/1/1998,4.61,966,1015.25,943,1010.5,,1010.5,1274,1512,-0.115818182,0.311928009,0.185681637,0.076168847,0.338019331,0.033343943,0,5.17,282.2,0.7635,0.002705528,0.114545455,1.591556213,118406
58,9/2/1998,-1.01,1011.5,1025,997,1000.25,,1000.25,514,1440,-0.157636364,0.330082016,0.189869141,0.077674241,0.345217624,0.034520659,0,-2.97,283.4,0.744,0.002625265,0.075818182,1.640379011,118406
59,9/3/1998,-0.52,1001,1001,974,995,,995,461,1460,-0.204727273,0.335271451,0.194059892,0.079201257,0.352462405,0.035657379,0,-0.71,288.3,0.7515,0.00260666,0.060363636,1.643763707,118406
60,9/4/1998,-0.98,996.5,1005,964.5,985.25,,985.25,18208,1516,-0.215272727,0.336281187,0.198270763,0.080507279,0.359285322,0.037256205,0,-0.29,290.1,0.754,0.002599104,0.072727273,1.638418902,118406
61,9/8/1998,3.32,988,1038.25,988,1035.75,,1035.75,666,1130,-0.139090909,0.369309187,0.202457737,0.083308525,0.369074786,0.035840688,0.0002344,2.44,289.2,0.77,0.002662517,0.117272727,1.669145329,118406
62,9/9/1998,-2.29,1037,1039.25,1012,1012,,1012,852,1425,-0.200545455,0.332829625,0.205705426,0.08485994,0.375425307,0.035985546,0,1.74,287.4,0.7785,0.002708768,0.125090909,1.675829118,118406
63,9/10/1998,-3.06,1012.5,1013,975.5,981,,981,20949,4370,-0.278181818,0.37564769,0.209264231,0.087811233,0.384886696,0.033641765,0,-3.12,293.8,0.771,0.002624234,0.078545455,1.729889119,118406
64,9/11/1998,4.38,980.5,1025.25,965,1024,,1024,26716,6609,-0.196181818,0.303226256,0.211541767,0.0886052,0.388752167,0.034331366,0,-1.85,296.8,0.7645,0.002575809,0.043454545,1.749324968,118406
65,9/14/1998,1.59,1023.5,1051,1020,1040.25,,1040.25,18796,7170,-0.180727273,0.299888666,0.213507548,0.089354614,0.392216777,0.034798319,0,-0.1,293.4,0.755,0.002573279,0.052,1.747419685,118406
66,9/15/1998,0.72,1039.5,1050,1030.5,1047.75,,1047.75,21712,8145,-0.170727273,0.310748959,0.215578634,0.090276477,0.396131589,0.035025679,0,1.93,293,0.7685,0.002622867,0.1,1.762296482,118406
67,9/16/1998,0.95,1046.75,1059.5,1038.5,1057.75,,1057.75,24310,8381,-0.144,0.310641231,0.218375727,0.090803337,0.399982401,0.036769054,0,-0.42,290.6,0.759,0.002611838,0.114909091,1.754200116,118406
68,9/17/1998,-2.86,1057.75,1059.25,1024.75,1027.5,,1027.5,21999,9132,-0.216363636,0.337829424,0.221546112,0.091887987,0.405322086,0.037770138,0,-2.82,293.9,0.746,0.002538278,0.076909091,1.795004253,118406
69,9/18/1998,0.19,1028.5,1038,1021.25,1029.5,,1029.5,16957,9662,-0.205090909,0.353760386,0.225407097,0.092913942,0.41123498,0.039579213,0,-0.1,294.2,0.746,0.00253569,0.104181818,1.780389773,118406
70,9/21/1998,1.02,1040,1043.25,1019,1040,,1040,1,0,-0.208363636,0.357688973,0.22949641,0.093707623,0.416911656,0.042081165,0,0.49,291.6,0.743,0.002548011,0.089454545,1.773652246,118406
71,9/22/1998,0.48,1045,1050.5,1045,1045,,1045,1,1,-0.194545455,0.363386806,0.234435342,0.093471141,0.421377624,0.04749306,0,-0.63,290.5,0.7355,0.002531842,0.092545455,1.772221057,118406
72,9/23/1998,4.43,1056.5,1091.25,1056.5,1091.25,,1091.25,14,13,-0.136727273,0.369061844,0.239622786,0.09286879,0.425360365,0.053885207,0,1.14,292.5,0.749,0.002560684,0.117272727,1.77726012,118406
73,9/24/1998,-1.58,1075,1078.25,1062.5,1074,,1074,11,9,-0.150545455,0.376154961,0.244782063,0.092419133,0.429620329,0.059943797,0,-1.32,296.4,0.749,0.002526991,0.089090909,1.787697954,118406
74,9/25/1998,-0.19,1050,1072,1047.5,1072,,1072,14,8,-0.156727273,0.376018942,0.24998769,0.091582303,0.433152296,0.066823083,0,0.74,296.2,0.754,0.002545577,0.100909091,1.7898513,118406
75,9/28/1998,-0.75,1078,1080.25,1063,1064,,1064,9,11,-0.175272727,0.376957944,0.255231375,0.09041713,0.436065635,0.074397115,0,-1.07,298,0.7505,0.002518456,0.065636364,1.793526181,118406
76,9/29/1998,0.49,1075.75,1075.75,1057,1069.25,,1069.25,3,13,-0.187454545,0.378750506,0.260528375,0.08892522,0.438378814,0.082677936,0,0.44,296.9,0.751,0.002529471,0.028181818,1.762997333,118406
77,9/30/1998,-2.41,1056,1056,1033.5,1043.5,,1043.5,14,15,-0.226727273,0.395909709,0.266220787,0.087346018,0.440912823,0.091528752,0,-2.75,299,0.7355,0.002459866,-0.027818182,1.801724165,118406
78,10/1/1998,-3.71,1027,1035.25,998,1004.75,,1004.75,37,24,-0.306,0.411185148,0.271165214,0.087721151,0.446607517,0.095722911,0,-1.43,302.1,0.7325,0.002424694,-0.089636364,1.79019962,118406
79,10/2/1998,1.14,1013,1024,988.75,1016.25,,1016.25,15,27,-0.290909091,0.398584206,0.275797524,0.087598129,0.450993782,0.100601266,0,-1.32,302.8,0.7245,0.002392668,-0.116727273,1.797457108,118406
80,10/5/1998,-3.3,1010,1013,979.75,982.75,,982.75,14,30,-0.347090909,0.39301622,0.27989669,0.087714444,0.455325577,0.104467803,0,-0.27,299,0.7135,0.002386288,-0.126181818,1.796859906,118406
81,10/6/1998,2.14,1005,1025.5,992.5,1003.75,,1003.75,23,32,-0.278363636,0.404276795,0.284429576,0.087580612,0.4595908,0.109268352,0,1.01,298.3,0.719,0.002410325,-0.145272727,1.778688504,118406
82,10/7/1998,-2.29,1024,1024,977.5,980.75,,980.75,25,32,-0.32,0.395953548,0.288654398,0.087247299,0.463148996,0.1141598,0,-0.22,302.9,0.7285,0.002405084,-0.112,1.759410044,118406
83,10/8/1998,-0.69,974.75,988.25,939.5,974,,974,26,35,-0.288545455,0.396958597,0.292974638,0.086606321,0.46618728,0.119761996,0,-0.8,302,0.7205,0.002385762,-0.154545455,1.746970731,118406
84,10/9/1998,2.67,976.5,1000.75,967.5,1000,,1000,20,40,-0.246363636,0.410633708,0.297688047,0.085809077,0.469306201,0.126069894,0,1.31,298.5,0.7215,0.002417085,-0.126181818,1.75802129,118406
85,10/12/1998,1.7,1010.5,1025.75,1010.5,1017,,1017,13,41,-0.217090909,0.431434117,0.303056676,0.084746245,0.472549167,0.133564185,0,0.59,298.2,0.725,0.002431254,-0.200181818,1.634119415,118406
86,10/13/1998,-0.59,1011,1019.5,1004,1011,,1011,1,42,-0.216,0.435655181,0.309039347,0.082197349,0.473434045,0.144644648,0,0.45,298.5,0.729,0.002442211,-0.161818182,1.623949337,118406
87,10/14/1998,0.87,1007,1031.75,1005.25,1019.75,,1019.75,12,46,-0.182,0.433178929,0.314698374,0.079754961,0.474208295,0.155188453,0,-0.31,297.8,0.725,0.00243452,-0.150181818,1.620486314,118406
88,10/15/1998,4.83,1020,1082,1013,1069,,1069,26,61,-0.120363636,0.407099008,0.319762383,0.076494124,0.472750631,0.166774134,0,-0.4,299.2,0.7255,0.002424799,-0.147636364,1.619972523,118406
89,10/16/1998,0.37,1070.25,1078,1067.5,1073,,1073,32,48,-0.075272727,0.399425752,0.324705481,0.072524807,0.469755096,0.179655867,0,1.63,301.7,0.7435,0.002464369,-0.146727273,1.620973707,118406
90,10/19/1998,0.3,1075,1082.75,1070.25,1076.25,,1076.25,19,56,-0.063454545,0.396635339,0.329267344,0.068857059,0.466981461,0.191553227,0,0.49,297.8,0.7375,0.002476494,-0.122727273,1.620441703,118406
91,10/20/1998,0.51,1092,1101,1078.75,1081.75,,1081.75,25,60,0.008545455,0.396256377,0.333721378,0.064942771,0.463606921,0.203835836,0,-0.54,297.8,0.7335,0.002463062,-0.102545455,1.60793198,118406
92,10/21/1998,0.09,1080.5,1091.25,1074.25,1082.75,,1082.75,19,60,-0.001090909,0.364689745,0.336262488,0.063321121,0.46290473,0.209620246,0,-0.28,296.8,0.729,0.002456199,-0.052545455,1.557170057,118406
93,10/22/1998,1.27,1084,1096.75,1077.75,1096.5,,1096.5,57,109,0.008727273,0.367148672,0.338411477,0.062300602,0.463012682,0.213810272,0,0.74,293.6,0.7265,0.002474455,-0.046,1.559776337,118406
94,10/23/1998,-1.14,1091.5,1093.5,1082.5,1084,,1084,32,126,-0.011636364,0.369068957,0.340559928,0.061255717,0.463071361,0.218048494,0,-0.55,294.2,0.724,0.002460911,-0.056,1.56123835,118406
95,10/26/1998,0.46,1083,1099.5,1083,1089,,1089,45,143,0.004181818,0.368033978,0.342676679,0.06012625,0.462929179,0.22242418,0,-0.83,293.6,0.7165,0.002440395,-0.091636364,1.556026235,118406
96,10/27/1998,-0.48,1098,1101.75,1078.75,1083.75,,1083.75,59,132,0.026,0.370541848,0.344760552,0.059040382,0.462841317,0.226679787,0,-1.24,294.8,0.7105,0.002410109,-0.076363636,1.540190421,118406
97,10/28/1998,-0.32,1079,1088,1075,1080.25,,1080.25,17,140,-0.005818182,0.368461321,0.346685127,0.05802947,0.462744067,0.230626188,0,-0.64,294.4,0.705,0.002394701,-0.076909091,1.540388206,118406
98,10/29/1998,2.29,1084,1105.25,1080.25,1105,,1105,65,173,0.056545455,0.364332381,0.348221215,0.057341574,0.462904364,0.233538067,0,0.53,296.8,0.7145,0.002407345,-0.097818182,1.523814282,118406
99,10/30/1998,2.38,1105,1131.25,1105,1131.25,,1131.25,130,200,0.119090909,0.374859251,0.34975365,0.056896984,0.463547619,0.235959681,0,1.71,295.7,0.724,0.002448427,-0.049636364,1.538516558,118406
100,11/2/1998,-0.02,1122.75,1131,1115.75,1131,,1131,26,178,0.079818182,0.376229619,0.351484832,0.056211159,0.46390715,0.239062514,0,1.48,293,0.728,0.002484642,-0.034181818,1.549698526,118406
101,11/3/1998,-0.57,1131.5,1131.5,1123,1124.5,,1124.5,11,180,0.037090909,0.373308747,0.35311411,0.055504219,0.464122548,0.242105672,0,0.07,291.8,0.7255,0.002486292,-0.041454545,1.548226486,118406
102,11/4/1998,0.8,1124.5,1143,1124.5,1133.5,,1133.5,119,234,0.061818182,0.381223164,0.355209593,0.054316218,0.463842029,0.246577156,0,0.07,293.8,0.731,0.002488087,-0.029090909,1.546316139,118406
103,11/5/1998,1.59,1127,1153,1125,1151.5,,1151.5,143,188,0.102545455,0.37693652,0.357241009,0.052960241,0.46316149,0.251320528,0,-0.88,296.8,0.732,0.002466307,-0.063454545,1.543795489,118406
104,11/6/1998,0.56,1150,1158.5,1147.5,1158,,1158,73,222,0.124181818,0.385884698,0.359028821,0.052218741,0.463466303,0.25459134,0,0.07,296.2,0.731,0.002467927,-0.086545455,1.531866712,118406
105,11/9/1998,-0.86,1161.5,1161.5,1139,1148,,1148,38,221,0.095272727,0.386484542,0.360013842,0.052216342,0.464446526,0.255581158,0,-0.69,295.6,0.7245,0.002450947,-0.063090909,1.512086947,118406
106,11/10/1998,-0.61,1140.5,1150.5,1129.25,1141,,1141,37,223,0.079272727,0.387280797,0.361088352,0.052157218,0.465402788,0.256773917,0,-1.72,296.4,0.714,0.002408907,-0.128545455,1.504315297,118406
107,11/11/1998,-0.42,1150.25,1151.25,1132.75,1136.25,,1136.25,29,238,0.083454545,0.383425128,0.362067233,0.052060176,0.466187585,0.257946881,0,0.8,295.9,0.7185,0.002428185,-0.113090909,1.509494486,118406
108,11/12/1998,-0.22,1138.25,1139.25,1130,1133.75,,1133.75,43,240,0.164545455,0.382866192,0.363025469,0.051946977,0.466919422,0.259131515,0,-1.06,299.7,0.72,0.002402402,-0.125818182,1.514557374,118406
109,11/13/1998,0.73,1137.25,1142,1134.25,1142,,1142,19,227,0.190363636,0.494902432,0.368822257,0.048364512,0.465551281,0.272093233,0.029351151,-0.99,298.7,0.7105,0.002378641,-0.195818182,1.462063092,118406
110,11/16/1998,-0.02,1151.75,1155,1141.75,1141.75,,1141.75,21,229,0.322545455,0.49554869,0.374434147,0.044626568,0.463687282,0.285181011,0.031861408,-0.62,297.8,0.704,0.002364003,-0.162727273,1.430587104,118406
111,11/17/1998,1.14,1150,1167.25,1128.5,1154.75,,1154.75,81,226,0.259454545,0.519460578,0.380042799,0.043060993,0.466164786,0.293920812,0.053295792,1.87,297.1,0.7155,0.00240828,-0.109636364,1.451085116,118406
112,11/18/1998,0.61,1152.5,1161.75,1146.5,1161.75,,1161.75,34,210,0.288909091,0.440568798,0.382381723,0.0427855,0.467952722,0.296810723,0,-0.79,300.3,0.7175,0.002389277,-0.218,1.259390505,118406
113,11/19/1998,0.54,1160,1168.5,1158,1168,,1168,49,207,0.308181818,0.434207846,0.38427492,0.042732133,0.469739186,0.298810653,0,-0.1,298.1,0.7115,0.002386783,-0.165818182,1.201373737,118406
114,11/20/1998,0.77,1167,1178.25,1167,1177,,1177,40,193,0.34,0.431748934,0.386029056,0.042663435,0.471355926,0.300702185,0,1.37,298.4,0.722,0.002419571,-0.128,1.216568337,118406
115,11/23/1998,2.34,1183.5,1206.5,1183.5,1204.5,,1204.5,114,212,0.350727273,0.393860373,0.38707595,0.042123124,0.471322198,0.302829702,0,-1.75,299.1,0.711,0.002377131,-0.154545455,1.235942912,118406
116,11/24/1998,-0.39,1204,1206,1196.5,1199.75,,1199.75,166,250,0.283272727,0.350950206,0.38674215,0.042338712,0.471419574,0.302064726,0,0.03,298.6,0.71,0.002377763,-0.198363636,1.183879004,118406
117,11/25/1998,-0.04,1194.5,1202,1194,1199.25,,1199.25,80,291,0.324181818,0.413856926,0.388215374,0.041834744,0.471884861,0.304545887,0,-0.17,299.1,0.71,0.002373788,-0.233090909,1.153593215,118406
118,11/30/1998,-2.8,1210,1210,1172.75,1172.75,,1172.75,276,310,0.231636364,0.310374782,0.387028594,0.043104442,0.473237478,0.300819709,0,0.86,295.1,0.7065,0.002394104,-0.160727273,1.092351955,118406
119,12/1/1998,1.26,1175.5,1190,1149.25,1187.5,,1187.5,357,360,0.241454545,0.402533314,0.388834177,0.041582109,0.471998394,0.305669959,0,-0.55,295.9,0.7045,0.002380872,-0.137090909,1.068936253,118406
120,12/2/1998,-0.21,1187,1191.75,1170.25,1185,,1185,247,380,0.220363636,0.405605126,0.390756294,0.039799646,0.470355586,0.311157003,0,-1.19,295.2,0.6945,0.002352642,-0.156909091,1.078299197,118406
121,12/3/1998,-1.73,1188.75,1193,1160,1164.5,,1164.5,206,434,0.240909091,0.427349953,0.392876312,0.038544674,0.469965661,0.315786964,0,-1.66,293.7,0.6795,0.002313585,-0.222181818,1.058100483,118406
122,12/4/1998,2.23,1161.5,1196.75,1160,1190.5,,1190.5,359,473,0.278,0.417914266,0.394826731,0.036989094,0.468804919,0.320848543,0,-0.5,294.3,0.6775,0.002302073,-0.223636364,1.05843239,118406
123,12/7/1998,0.9,1194,1204,1189.5,1201.25,,1201.25,334,573,0.275818182,0.347463027,0.395001887,0.036736138,0.468474163,0.321529612,0,-1.68,296.9,0.672,0.002263388,-0.202909091,1.016997529,118406
124,12/8/1998,-0.52,1200.25,1208,1184,1195,,1195,644,685,0.257636364,0.339513711,0.394742857,0.037080931,0.468904718,0.320580996,0,0.47,295.5,0.672,0.002274112,-0.192545455,1.020962179,118406
125,12/9/1998,0.19,1193.25,1198.75,1188.25,1197.25,,1197.25,591,891,0.180545455,0.333468786,0.39430249,0.037668291,0.469639072,0.318965908,0,0.57,295.8,0.6765,0.002287018,-0.191090909,1.022009047,118406
