Date,SP500,SP500corr,filterSP500corr,Open,High,Low,Last,,,,,,,,,,,,,
1998-04-27,1102.5,-0.105246241,0,1117,1123.25,1075,1102.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-28,1101,-0.104307808,0,1104,1114,1098.25,1101,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-29,1110,-0.100710353,0,1113,1115,1102,1110,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-30,1131,-0.098018611,0,1105.25,1140.25,1105.25,1131,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-01,1141,-0.095427291,0,1131,1141,1130.75,1141,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-04,1140,-0.095618616,0,1142,1149.5,1131.25,1140,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-05,1133.5,-0.093997269,0,1138.5,1140.5,1125.25,1133.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-06,1122,-0.092780336,0,1133.75,1135,1119.75,1122,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-07,1109.5,-0.092195283,0,1121,1121.5,1109.5,1109.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-08,1122,-0.088131971,0,1115,1133.75,1108.5,1122,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-11,1122,-0.083596633,0,1132,1136.25,1119.25,1122,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-12,1133.25,-0.08275463,0,1123,1133.5,1119.5,1133.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-13,1136,-0.080415346,0,1133,1139.25,1132,1136,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-14,1133.75,-0.081759724,0,1135.75,1142.25,1127.75,1133.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-15,1123.25,-0.081357117,0,1131,1134.5,1123,1123.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-18,1122,-0.080415492,0,1120.5,1129,1113.75,1122,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-19,1123.5,-0.080431035,0,1119,1130,1119,1123.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-20,1135,-0.078444071,0,1131,1136,1122.25,1135,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-21,1131,-0.075050857,0,1140,1141.75,1127.5,1131,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-22,1127.5,-0.076691495,0,1133,1133.5,1124.25,1127.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-26,1107,-0.079538078,0,1130.25,1133.25,1107,1107,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-27,1108.75,-0.078328987,0,1105.5,1109.5,1088.75,1108.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-28,1110,-0.071087856,0,1100.5,1114,1100.5,1110,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-05-29,1111,-0.072751194,0,1120,1120,1108.25,1111,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-04,1110.25,-0.061178797,0,1089,1111,1089,1110.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-05,1129,-0.060519757,0,1109.25,1130.5,1106,1129,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-09,1132,-0.057893447,0,1130.25,1134,1125.5,1132,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-10,1124,-0.056589819,0,1130.75,1140,1121.25,1124,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-11,1105.25,-0.058541051,0,1124.25,1128.25,1103,1105.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-12,1111.5,-0.069720462,0,1103.5,1113.5,1091.75,1111.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-15,1086,-0.095379425,0,1112.25,1114.25,1084,1086,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-16,1100,-0.096250832,0,1085,1100.5,1082.75,1100,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-17,1122.75,-0.139275083,0,1099.25,1126.75,1098.5,1122.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-18,1118.25,-0.121979672,0,1122,1127,1116,1118.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-19,1112.5,-0.120673595,0,1118.25,1124,1107.75,1112.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-23,1140.25,-0.116709546,0,1130,1143.25,1130,1140.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-24,1154,-0.11825158,0,1141,1157.25,1140.25,1154,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-25,1152.5,-0.114799896,0,1160.75,1166,1152.5,1152.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-26,1161,-0.131731264,0,1154.5,1161,1153.25,1161,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-29,1163,-0.062194156,0,1161.75,1169.75,1161.75,1163,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-06-30,1157,-0.055337598,0,1162,1164,1154.75,1157,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-01,1170,-0.062401802,0,1159.75,1170,1159.75,1170,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-02,1165,-0.051367273,0,1167,1168,1165,1165,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-06,1179,-0.046361022,0,1168.25,1180.25,1168.25,1179,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-07,1175.75,-0.045315705,0,1182,1182.25,1174.75,1175.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-08,1190.5,-0.004557827,0,1178.5,1190.5,1178.5,1190.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-09,1180.75,-0.004514507,0,1185.75,1189.25,1178.75,1180.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-10,1182.5,-0.000560346,0,1180,1187.5,1173,1182.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-13,1185.75,-0.010050325,0,1184,1188.25,1180,1185.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-14,1199.5,-0.008541312,0,1187.75,1201.75,1187.75,1199.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-15,1196.5,-0.013593305,0,1197.25,1202.5,1196.5,1196.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-16,1204.25,-0.011160876,0,1198,1205.5,1191.5,1204.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-17,1208,0.013990006,0,1204,1209.25,1204,1208,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-20,1205.5,0.02895982,0,1207.5,1211.75,1200,1205.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-21,1185.75,0.032311796,0,1208,1208.75,1183,1185.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-22,1185.75,0.035410688,0,1186,1189.25,1175.75,1185.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-23,1157,0.022527984,0,1185,1186,1157,1157,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-27,1162,-0.026042938,0,1151.5,1165.25,1147.75,1162,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-28,1154.5,-0.038458475,0,1163,1169,1137.5,1154.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-29,1143,-0.037501645,0,1149.75,1158.25,1139,1143,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-30,1159.5,-0.055852759,0,1150.75,1162.75,1150.75,1159.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-07-31,1135,0.063266745,0,1156.5,1161.75,1132,1135,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-03,1131,0.070218183,0,1131.25,1140,1128,1131,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-05,1098.75,0.072187581,0,1075,1101.25,1072.5,1098.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-06,1106.75,0.070767545,0,1092.75,1109.25,1091,1106.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-07,1106.5,0.075559635,0,1105.5,1120.75,1100.25,1106.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-10,1102,0.090441657,0,1102.5,1126.25,1097.5,1102,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-11,1083.5,0.088956594,0,1081.75,1100.5,1069,1083.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-12,1099,0.087760103,0,1084,1101,1084,1099,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-13,1086.5,0.085029512,0,1102,1108.25,1086.5,1086.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-14,1075,0.089218892,0,1086,1099,1073.25,1075,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-17,1098,0.087864533,0,1067.25,1098.5,1063,1098,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-18,1117.5,0.087988781,0,1103,1119.5,1100.75,1117.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-19,1111.25,0.088996,0,1120,1124.5,1110.25,1111.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-20,1104,0.088526642,0,1116,1117.5,1104,1104,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-21,1097,0.087778195,0,1105,1107,1065.25,1097,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-24,1105,0.087644812,0,1096,1110.75,1093.25,1105,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-25,1108,0.087353962,0,1102.75,1122,1100.25,1108,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-26,1100.75,0.082205374,0,1106,1107.5,1089.5,1100.75,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-27,1049.25,0.07137551,0,1092.25,1099.75,1046.75,1049.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-28,1042,0.05924827,0,1049,1067.5,1030,1042,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-08-31,966,0.073540083,0,1042.5,1051,962.25,966,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-09-01,1010.5,0.115218113,0,966,1015.25,943,1010.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-09-02,1000.25,0.013809227,0,1011.5,1025,997,1000.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-09-04,985.25,0.027268424,0,996.5,1005,964.5,985.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-09-09,1012,0.058954595,0,1037,1039.25,1012,1012,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-09-10,981,0.225583226,0.225583226,1012.5,1013,975.5,981,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,981,,"$100,000"
1998-09-11,1024,0.296399824,0.296399824,980.5,1025.25,965,1024,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,981,,"$100,000"
1998-09-14,1040.25,-0.081576125,0,1023.5,1051,1020,1040.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",1.124442972,1040.25,0.889329228,"$88,933"
1998-09-15,1047.75,-0.079264663,0,1039.5,1050,1030.5,1047.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-16,1057.75,-0.082048559,0,1046.75,1059.5,1038.5,1057.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-17,1027.5,-0.076519412,0,1057.75,1059.25,1024.75,1027.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-18,1029.5,-0.079047903,0,1028.5,1038,1021.25,1029.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-21,1040,-0.065825273,0,1040,1043.25,1019,1040,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-22,1045,-0.070124017,0,1045,1050.5,1045,1045,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-23,1091.25,-0.064377476,0,1056.5,1091.25,1056.5,1091.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-24,1074,-0.055724346,0,1075,1078.25,1062.5,1074,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-25,1072,-0.0540125,0,1050,1072,1047.5,1072,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-28,1064,-0.020523108,0,1078,1080.25,1063,1064,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-29,1069.25,-0.02769407,0,1075.75,1075.75,1057,1069.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-09-30,1043.5,-0.028619898,0,1056,1056,1033.5,1043.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-01,1004.75,-0.028927256,0,1027,1035.25,998,1004.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-02,1016.25,-0.030362219,0,1013,1024,988.75,1016.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-05,982.75,-0.023122168,0,1010,1013,979.75,982.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-06,1003.75,-0.034161999,0,1005,1025.5,992.5,1003.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-07,980.75,-0.029703176,0,1024,1024,977.5,980.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-08,974,-0.034748686,0,974.75,988.25,939.5,974,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-09,1000,-0.029392115,0,976.5,1000.75,967.5,1000,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-14,1019.75,-0.025844335,0,1007,1031.75,1005.25,1019.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-15,1069,-0.0240218,0,1020,1082,1013,1069,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-16,1073,-0.02705897,0,1070.25,1078,1067.5,1073,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-19,1076.25,-0.023768906,0,1075,1082.75,1070.25,1076.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-20,1081.75,-0.026067497,0,1092,1101,1078.75,1081.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-21,1082.75,-0.024357966,0,1080.5,1091.25,1074.25,1082.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-22,1096.5,-0.024482447,0,1084,1096.75,1077.75,1096.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-23,1084,-0.02433382,0,1091.5,1093.5,1082.5,1084,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-26,1089,-0.023192255,0,1083,1099.5,1083,1089,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-27,1083.75,-0.022182499,0,1098,1101.75,1078.75,1083.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-28,1080.25,-0.019808708,0,1079,1088,1075,1080.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-29,1105,-0.01948685,0,1084,1105.25,1080.25,1105,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-10-30,1131.25,-0.031287599,0,1105,1131.25,1105,1131.25,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-02,1131,-0.03767367,0,1122.75,1131,1115.75,1131,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-03,1124.5,-0.044592341,0,1131.5,1131.5,1123,1124.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-04,1133.5,-0.034282074,0,1124.5,1143,1124.5,1133.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-05,1151.5,-0.026969947,0,1127,1153,1125,1151.5,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-06,1158,-0.027071377,0,1150,1158.5,1147.5,1158,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-09,1148,-0.025011743,0,1161.5,1161.5,1139,1148,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-10,1141,-0.025828358,0,1140.5,1150.5,1129.25,1141,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-13,1142,-0.026392637,0,1137.25,1142,1134.25,1142,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-16,1141.75,-0.026121329,0,1151.75,1155,1141.75,1141.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-17,1154.75,-0.024526349,0,1150,1167.25,1128.5,1154.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
1998-11-18,1161.75,-0.026277631,0,1152.5,1161.75,1146.5,1161.75,91508.22282,"$102,896",,0,,"$97,186","$91,508","$109,280","$112,444",,0,,"$88,933"
