,Date,SP_Daily_Pct_Return,Open,High,Low,Last,Change,Settle,Volume,SP_MA,dly_chg_correlation,dly_chg_corr_mean,Std_daily_chg_correl,upper_correl,lower_correl,signal,Gold-Copp_Dly_Ret,Gold_Price,Copper_Price,GoldCopperRatio,MA,rolling_std
20,1998-07-10,0.15,1180.0,1187.5,1173.0,1182.5,,1182.5,24.0,0.053090909090908876,0.08855523135068222,0.07271165541865851,0.06535728453286986,0.20342622448439823,-0.05800291364708121,0.0,0.87,293.9,0.72,0.002449812861517523,,
21,1998-07-13,0.27,1184.0,1188.25,1180.0,1185.75,,1185.75,9.0,0.07927272727272706,0.08741552486484216,0.07375489610935256,0.06512100892372527,0.20399691395680308,-0.05648712173809799,0.0,2.5,294.7,0.74,0.002511028164234815,,
22,1998-07-14,1.16,1187.75,1201.75,1187.75,1199.5,,1199.5,32.0,0.12436363636363616,0.08282701512800045,0.07443570510349604,0.06501454146023258,0.2044647880239612,-0.05559337781696913,0.0,0.33,296.3,0.7465,0.002519406007424907,,
23,1998-07-15,-0.25,1197.25,1202.5,1196.5,1196.5,,1196.5,12.0,0.1530909090909089,0.13924169424767088,0.07745137260572553,0.06408031211978575,0.20561199684529702,-0.05070925163384597,0.0,1.97,296.8,0.7625,0.0025690700808625334,,
24,1998-07-16,0.65,1198.0,1205.5,1191.5,1204.25,,1204.25,29.0,0.16745454545454527,0.14380716111554945,0.08050426349318034,0.06314546609454141,0.20679519568226318,-0.04578666869590249,0.0,0.17,296.3,0.7625,0.0025734053324333443,,
25,1998-07-17,0.31,1204.0,1209.25,1204.0,1208.0,,1208.0,12.0,0.158181818181818,0.16756206702537785,0.0847093767425954,0.06102868102184724,0.20676673878628987,-0.037347985301099076,0.0,0.25,297.3,0.767,0.0025798856374032965,,
26,1998-07-20,-0.21,1207.5,1211.75,1200.0,1205.5,,1205.5,35.0,0.11999999999999982,0.15496806085979756,0.08893705947608074,0.0575336751362513,0.20400440974858336,-0.02613029079642186,0.0,2.06,298.9,0.787,0.0026329876212780197,,
27,1998-07-21,-1.64,1208.0,1208.75,1183.0,1185.75,,1185.75,19.0,0.074181818181818,0.16358833691928626,0.09268894439990741,0.055477683436453255,0.2036443112728139,-0.018266422472999103,0.0,-2.05,297.8,0.768,0.0025789120214909336,,
28,1998-07-22,0.0,1186.0,1189.25,1175.75,1185.75,,1185.75,53.0,0.07581818181818165,0.15934540729251065,0.09631116532502765,0.0531154502843936,0.20254206589381485,-0.009919735243759553,0.0,1.54,296.9,0.7775,0.0026187268440552376,,
29,1998-07-23,-2.42,1185.0,1186.0,1157.0,1157.0,,1157.0,56.0,0.042181818181818,0.1513962054917917,0.09994157929064518,0.04976824306391837,0.1994780654184819,0.00040509316280844254,0.0,-0.25,296.1,0.7735,0.0026122931442080373,,
30,1998-07-24,0.35,1159.0,1168.0,1147.25,1161.0,,1161.0,62.0,0.06690909090909072,0.13615954769068955,0.10270626919451825,0.04738023126837702,0.19746673173127227,0.007945806657764218,0.0,4.66,293.7,0.8029999999999999,0.002734082397003745,,
31,1998-07-27,0.09,1151.5,1165.25,1147.75,1162.0,,1162.0,47.0,0.08872727272727254,0.10660829345013419,0.10407525918810101,0.04635593594462243,0.19678713107734586,0.01136338729885615,0.0,-1.66,292.7,0.787,0.002688759822343697,,
32,1998-07-28,-0.65,1163.0,1169.0,1137.5,1154.5,,1154.5,52.0,0.05636363636363618,0.12193240030839064,0.10580097436223371,0.045186117659282654,0.19617320968079902,0.015428739043668399,0.0,-0.95,294.2,0.7835,0.0026631543167912985,,
33,1998-07-29,-1.0,1149.75,1158.25,1139.0,1143.0,,1143.0,33.0,0.038181818181818,0.12857854306269095,0.10748478668923804,0.044251545108774736,0.1959878769067875,0.01898169647168857,0.0,-0.54,292.4,0.7745,0.0026487688098495213,,
34,1998-07-30,1.44,1150.75,1162.75,1150.75,1159.5,,1159.5,37.0,0.046181818181818,0.12755532244137202,0.10872849916047249,0.04382717927472775,0.19638285770992797,0.021074140611016992,0.0,1.58,291.2,0.7835,0.0026905906593406594,,
35,1998-07-31,-2.11,1156.5,1161.75,1132.0,1135.0,,1135.0,25.0,0.003454545454545272,0.1457328825771164,0.11025635078843042,0.043621631422882154,0.19749961363419472,0.023013087942666113,0.0,-0.83,288.4,0.7695,0.0026681692094313453,,
36,1998-08-03,-0.35,1131.25,1140.0,1128.0,1131.0,,1131.0,33.0,0.0007272727272725452,0.15128450901128573,0.11266863523699164,0.04210166705423005,0.19687196934545176,0.02846530112853153,0.0,-1.65,285.8,0.75,0.002624212736179146,,
37,1998-08-04,-3.45,1127.75,1137.25,1085.25,1092.0,,1092.0,77.0,-0.04509090909090928,0.2249287017336607,0.11616966104505434,0.04329023351312884,0.20275012807131204,0.029589194018796658,0.022178573662348655,-3.03,290.4,0.7390000000000001,0.0025447658402203864,,
38,1998-08-05,0.62,1075.0,1101.25,1072.5,1098.75,,1098.75,79.0,-0.031818181818182,0.24895429022702165,0.12000158841224717,0.045530415905595076,0.21106242022343732,0.02894075660105702,0.03789187000358432,0.38,289.7,0.74,0.002554366586123576,,
39,1998-08-06,0.73,1092.75,1109.25,1091.0,1106.75,,1106.75,46.0,-0.020909090909091092,0.25090417078844607,0.12362413703655457,0.04785911347387581,0.21934236398430618,0.027905910088802957,0.03156180680413989,0.0,289.3,0.7390000000000001,0.002554441755962669,,
40,1998-08-07,-0.02,1105.5,1120.75,1100.25,1106.5,,1106.5,84.0,-0.039818181818182,0.2516126235737375,0.12712472720469642,0.050042179826068255,0.22720908685683294,0.02704036755255991,0.02440353671690454,1.13,288.4,0.745,0.0025832177531206657,,
41,1998-08-10,-0.41,1102.5,1126.25,1097.5,1102.0,,1102.0,20.0,-0.040909090909091096,0.2559288612750587,0.13055944446973364,0.052273651848225536,0.2351067481661847,0.026012140773282566,0.020822113108873996,-2.08,289.2,0.7315,0.0025293914246196404,,
42,1998-08-11,-1.68,1081.75,1100.5,1069.0,1083.5,,1083.5,191.0,-0.06581818181818201,0.2626096814767778,0.13338671034184904,0.05511009607078482,0.24360690248341868,0.0231665182002794,0.019002778993359143,-0.61,285.8,0.7185,0.0025139958012596222,,
43,1998-08-12,1.43,1084.0,1101.0,1084.0,1099.0,,1099.0,167.0,-0.006727272727272911,0.27984753772546467,0.1363205639864337,0.058493422128608114,0.25330740824364995,0.019333719729217463,0.026540129481814723,1.68,284.6,0.7275,0.00255621925509487,,
44,1998-08-13,-1.14,1102.0,1108.25,1086.5,1086.5,,1086.5,76.0,-0.030363636363636544,0.2905753308610782,0.13944375183033858,0.06202016094545806,0.2634840737212547,0.015403429939422467,0.027091257139823466,-0.94,286.9,0.7265,0.0025322411990240505,,
45,1998-08-14,-1.06,1086.0,1099.0,1073.25,1075.0,,1075.0,60.0,-0.05163636363636382,0.2810146221356255,0.14242691069145194,0.06480133370678268,0.27202957810501727,0.012824243277886588,0.008985044030608236,0.63,285.5,0.7275,0.0025481611208406306,,
46,1998-08-17,2.14,1067.25,1098.5,1063.0,1098.0,,1098.0,105.0,-0.014363636363636544,0.2836984636601238,0.14547657032584863,0.06742670988579111,0.28032999009743087,0.010623150554266408,0.0033684735626929307,0.47,286.7,0.7340000000000001,0.0025601674223927453,,
47,1998-08-18,1.78,1103.0,1119.5,1100.75,1117.5,,1117.5,107.0,0.02327272727272709,0.26597161026557953,0.1482473342196184,0.06919951034408962,0.28664635490779766,0.00984831353143914,0.0,-0.61,286.5,0.7290000000000001,0.0025445026178010474,,
48,1998-08-19,-0.56,1120.0,1124.5,1110.25,1111.25,,1111.25,150.0,0.012727272727272546,0.26520861245081495,0.15111020765947122,0.07073320649263524,0.2925766206447417,0.009643794674200734,0.0,1.01,284.6,0.7315,0.0025702740688685875,,
49,1998-08-20,-0.65,1116.0,1117.5,1104.0,1104.0,,1104.0,74.0,0.02709090909090891,0.2875550300568544,0.1551720337758483,0.07204943879607406,0.29927091136799644,0.011073156183700167,0.0,1.34,286.4,0.746,0.0026047486033519557,,
50,1998-08-21,-0.63,1105.0,1107.0,1065.25,1097.0,,1097.0,288.0,-0.014727272727272908,0.33230841549916473,0.1605777884033974,0.07399291555307527,0.3085636195095479,0.012591957297246853,0.023744795989616818,-1.98,286.1,0.7305,0.002553303040894792,,
51,1998-08-24,0.73,1096.0,1110.75,1093.25,1105.0,,1105.0,228.0,-0.03218181818181836,0.32818272571559937,0.16542060632328057,0.07609659043427483,0.3176137871918302,0.013227425454730907,0.010568938523769167,1.88,286.0,0.7440000000000001,0.002601398601398602,,
52,1998-08-25,0.27,1102.75,1122.0,1100.25,1108.0,,1108.0,353.0,-0.028545454545454724,0.3295866803824092,0.17023197735066414,0.07796990510011124,0.3261717875508866,0.014292167150441654,0.0034148928315225757,-0.05,284.4,0.7395,0.002600210970464135,0.03545454545454549,1.4184535373816225
53,1998-08-26,-0.65,1106.0,1107.5,1089.5,1100.75,,1100.75,256.0,-0.044000000000000185,0.3301632175189408,0.17499051556844944,0.07961181953527859,0.3342141546390066,0.015766876497892268,0.0,-0.36,283.3,0.7340000000000001,0.0025908930462407343,0.014727272727272757,1.4156988256628473
54,1998-08-27,-4.68,1092.25,1099.75,1046.75,1049.25,,1049.25,565.0,-0.11618181818181837,0.17607908755837276,0.17727307185108598,0.07775562181315174,0.33278431547738946,0.02176182822478251,0.0,2.86,277.5,0.7395,0.002664864864864865,0.023636363636363667,1.4322403631766765
55,1998-08-28,-0.69,1049.0,1067.5,1030.0,1042.0,,1042.0,957.0,-0.09836363636363656,0.18689476280386505,0.17931301487015922,0.07647592434621105,0.33226486356258134,0.026361166177737122,0.0,-2.44,277.9,0.7225,0.002599856063332134,-0.020545454545454516,1.4702726103758952
56,1998-08-31,-7.29,1042.5,1051.0,962.25,966.0,,966.0,1282.0,-0.24127272727272747,0.21098468267625217,0.18209304432724338,0.07474697323732116,0.3315869908018857,0.03259909785260107,0.0,-1.05,278.9,0.7175,0.00257260666905701,-0.02581818181818179,1.4734900506257005
57,1998-09-01,4.61,966.0,1015.25,943.0,1010.5,,1010.5,1274.0,-0.11581818181818201,0.31192800936060994,0.1856816372293797,0.07616884694215934,0.33801933111369836,0.03334394334506102,0.0,5.17,282.2,0.7635,0.0027055279943302623,0.11454545454545458,1.5915562127839462
58,1998-09-02,-1.01,1011.5,1025.0,997.0,1000.25,,1000.25,514.0,-0.15763636363636382,0.33008201649611285,0.18986914139606895,0.07767424108948708,0.3452176235750431,0.034520659217094796,0.0,-2.97,283.4,0.7440000000000001,0.002625264643613268,0.07581818181818185,1.640379010979871
59,1998-09-03,-0.52,1001.0,1001.0,974.0,995.0,,995.0,461.0,-0.20472727272727292,0.3352714511934249,0.19405989161319637,0.07920125653324235,0.35246240467968104,0.035657378546711666,0.0,-0.71,288.3,0.7515,0.002606659729448491,0.06036363636363639,1.6437637070391609
60,1998-09-04,-0.98,996.5,1005.0,964.5,985.25,,985.25,18208.0,-0.21527272727272748,0.33628118655416983,0.19827076336497312,0.08050727936215177,0.35928532208927666,0.03725620464066959,0.0,-0.29,290.1,0.754,0.00259910375732506,0.07272727272727277,1.638418901965092
61,1998-09-08,3.32,988.0,1038.25,988.0,1035.75,,1035.75,666.0,-0.13909090909090926,0.36930918667859947,0.20245773714023613,0.08330852461022722,0.3690747863606906,0.03584068791978168,0.00023440031790888938,2.44,289.2,0.77,0.0026625172890733058,0.11727272727272729,1.669145328587696
62,1998-09-09,-2.29,1037.0,1039.25,1012.0,1012.0,,1012.0,852.0,-0.20054545454545472,0.33282962456454906,0.20570542635516179,0.08485994029350374,0.37542530694216925,0.0359855457681543,0.0,1.74,287.4,0.7785,0.002708768267223382,0.1250909090909091,1.6758291178766502
63,1998-09-10,-3.06,1012.5,1013.0,975.5,981.0,,981.0,20949.0,-0.27818181818181836,0.37564768953433625,0.20926423057248233,0.08781123257141708,0.38488669571531653,0.03364176542964817,0.0,-3.12,293.8,0.7709999999999999,0.002624234172906739,0.07854545454545456,1.7298891188848964
64,1998-09-11,4.38,980.5,1025.25,965.0,1024.0,,1024.0,26716.0,-0.1961818181818184,0.30322625599291747,0.21154176682081507,0.0886052002723957,0.38875216736560647,0.03433136627602368,0.0,-1.85,296.8,0.7645,0.002575808625336927,0.043454545454545454,1.7493249684143437
65,1998-09-14,1.59,1023.5,1051.0,1020.0,1040.25,,1040.25,18796.0,-0.18072727272727293,0.299888665993908,0.21350754817615547,0.08935461445321516,0.3922167770825858,0.03479831926972515,0.0,-0.1,293.4,0.755,0.0025732788002726654,0.052,1.7474196850086001
66,1998-09-15,0.72,1039.5,1050.0,1030.5,1047.75,,1047.75,21712.0,-0.17072727272727292,0.31074895900566146,0.2155786339872528,0.09027647732659268,0.3961315886404382,0.035025679334067444,0.0,1.93,293.0,0.7685,0.002622866894197952,0.1,1.7622964815515263
67,1998-09-16,0.95,1046.75,1059.5,1038.5,1057.75,,1057.75,24310.0,-0.1440000000000002,0.31064123065373594,0.21837572705881825,0.0908033367788086,0.3999824006164354,0.03676905350120105,0.0,-0.42,290.6,0.759,0.002611837577426015,0.11490909090909092,1.7542001160466405
68,1998-09-17,-2.86,1057.75,1059.25,1024.75,1027.5,,1027.5,21999.0,-0.2163636363636366,0.3378294239605577,0.22154611175379965,0.09188798705217971,0.4053220858581591,0.03777013764944023,0.0,-2.82,293.9,0.746,0.0025382783259612113,0.07690909090909091,1.795004253298657
69,1998-09-18,0.19,1028.5,1038.0,1021.25,1029.5,,1029.5,16957.0,-0.20509090909090935,0.353760386156478,0.22540709656759894,0.09291394196376834,0.4112349804951356,0.039579212640062256,0.0,-0.1,294.2,0.746,0.0025356900067980965,0.1041818181818182,1.780389773085586
70,1998-09-21,1.02,1040.0,1043.25,1019.0,1040.0,,1040.0,1.0,-0.2083636363636366,0.3576889732770281,0.22949641039839297,0.09370762282302078,0.41691165604443453,0.04208116475235141,0.0,0.49,291.6,0.743,0.0025480109739368997,0.08945454545454547,1.7736522459496646
71,1998-09-22,0.48,1045.0,1050.5,1045.0,1045.0,,1045.0,1.0,-0.1945454545454548,0.36338680626928094,0.23443534204442523,0.09347114116331308,0.4213776243710514,0.047493059717799074,0.0,-0.63,290.5,0.7355,0.00253184165232358,0.09254545454545456,1.7722210569642476
72,1998-09-23,4.43,1056.5,1091.25,1056.5,1091.25,,1091.25,14.0,-0.13672727272727297,0.3690618443298153,0.23962278626410966,0.09286878950484322,0.42536036527379606,0.05388520725442322,0.0,1.14,292.5,0.7490000000000001,0.002560683760683761,0.11727272727272728,1.7772601203407268
73,1998-09-24,-1.58,1075.0,1078.25,1062.5,1074.0,,1074.0,11.0,-0.1505454545454548,0.3761549607879167,0.2447820630239779,0.09241913289175259,0.4296203288074831,0.05994379724047272,0.0,-1.32,296.4,0.7490000000000001,0.0025269905533063432,0.08909090909090908,1.7876979535324118
74,1998-09-25,-0.19,1050.0,1072.0,1047.5,1072.0,,1072.0,14.0,-0.15672727272727296,0.37601894199551944,0.2499876895277573,0.09158230303191114,0.4331522955915796,0.066823083463935,0.0,0.74,296.2,0.754,0.0025455773126266037,0.1009090909090909,1.7898513001832517
75,1998-09-28,-0.75,1078.0,1080.25,1063.0,1064.0,,1064.0,9.0,-0.1752727272727275,0.37695794379652975,0.2552313752085909,0.09041712985937403,0.43606563492733896,0.07439711548984285,0.0,-1.07,298.0,0.7505,0.002518456375838926,0.06563636363636363,1.7935261809118266
76,1998-09-29,0.49,1075.75,1075.75,1057.0,1069.25,,1069.25,3.0,-0.18745454545454568,0.37875050626281714,0.2605283748703723,0.08892521961366048,0.43837881409769325,0.08267793564305131,0.0,0.44,296.9,0.7509999999999999,0.0025294712024250586,0.02818181818181818,1.7629973329417137
77,1998-09-30,-2.41,1056.0,1056.0,1033.5,1043.5,,1043.5,14.0,-0.22672727272727297,0.39590970945754406,0.2662207874945458,0.0873460178997496,0.440912823294045,0.0915287516950466,0.0,-2.75,299.0,0.7355,0.002459866220735786,-0.027818181818181822,1.8017241648848379
78,1998-10-01,-3.71,1027.0,1035.25,998.0,1004.75,,1004.75,37.0,-0.3060000000000002,0.41118514792104055,0.2711652139249707,0.08772115129784866,0.44660751652066805,0.09572291132927341,0.0,-1.43,302.1,0.7325,0.00242469380999669,-0.08963636363636363,1.7901996201917483
79,1998-10-02,1.14,1013.0,1024.0,988.75,1016.25,,1016.25,15.0,-0.2909090909090911,0.39858420617676826,0.27579752383517464,0.08759812915846515,0.45099378215210495,0.10060126551824433,0.0,-1.32,302.8,0.7245,0.002392668428005284,-0.11672727272727272,1.797457107658498
80,1998-10-05,-3.3,1010.0,1013.0,979.75,982.75,,982.75,14.0,-0.3470909090909093,0.3930162198852512,0.2798966902508087,0.08771444357524444,0.4553255774012976,0.10446780310031983,0.0,-0.27,299.0,0.7135,0.00238628762541806,-0.12618181818181817,1.7968599060264887
81,1998-10-06,2.14,1005.0,1025.5,992.5,1003.75,,1003.75,23.0,-0.27836363636363654,0.40427679483775497,0.2844295763231352,0.08758061206473143,0.45959080045259804,0.10926835219367234,0.0,1.01,298.3,0.7190000000000001,0.0024103251759973183,-0.14527272727272728,1.7786885040986784
82,1998-10-07,-2.29,1024.0,1024.0,977.5,980.75,,980.75,25.0,-0.3200000000000002,0.3959535480197215,0.28865439834314316,0.08724729905423187,0.4631489964516069,0.11415980023467942,0.0,-0.22,302.9,0.7285,0.0024050841862000663,-0.11200000000000002,1.7594100442204208
83,1998-10-08,-0.69,974.75,988.25,939.5,974.0,,974.0,26.0,-0.2885454545454547,0.39695859658132304,0.2929746381483943,0.08660632115036695,0.4661872804491282,0.1197619958476604,0.0,-0.8,302.0,0.7205,0.0023857615894039737,-0.15454545454545454,1.7469707307241107
84,1998-10-09,2.67,976.5,1000.75,967.5,1000.0,,1000.0,20.0,-0.24636363636363653,0.41063370802285254,0.2976880472853227,0.08580907686706285,0.4693062010194484,0.12606989355119702,0.0,1.31,298.5,0.7215,0.0024170854271356786,-0.12618181818181817,1.7580212897513088
85,1998-10-12,1.7,1010.5,1025.75,1010.5,1017.0,,1017.0,13.0,-0.21709090909090928,0.4314341168647793,0.30305667581576073,0.08474624538829015,0.47254916659234103,0.13356418503918044,0.0,0.59,298.2,0.725,0.002431254191817572,-0.20018181818181818,1.6341194150447702
86,1998-10-13,-0.59,1011.0,1019.5,1004.0,1011.0,,1011.0,1.0,-0.21600000000000016,0.43565518146995463,0.3090393465070302,0.08219734917268813,0.4734340448524065,0.14464464816165393,0.0,0.45,298.5,0.7290000000000001,0.002442211055276382,-0.16181818181818183,1.6239493365901065
87,1998-10-14,0.87,1007.0,1031.75,1005.25,1019.75,,1019.75,12.0,-0.1820000000000002,0.43317892906761657,0.31469837430265246,0.07975496051911529,0.47420829534088305,0.15518845326442188,0.0,-0.31,297.8,0.725,0.0024345198119543315,-0.15018181818181822,1.6204863135046503
88,1998-10-15,4.83,1020.0,1082.0,1013.0,1069.0,,1069.0,26.0,-0.12036363636363655,0.40709900836907803,0.3197623827627685,0.07649412430623086,0.4727506313752302,0.1667741341503068,0.0,-0.4,299.2,0.7255,0.002424799465240642,-0.14763636363636365,1.6199725233567932
89,1998-10-16,0.37,1070.25,1078.0,1067.5,1073.0,,1073.0,32.0,-0.07527272727272745,0.39942575184393575,0.3247054814791788,0.0725248071030058,0.4697550956851904,0.17965586727316724,0.0,1.63,301.7,0.7435,0.0024643685780576735,-0.14672727272727273,1.6209737066269019
90,1998-10-19,0.3,1075.0,1082.75,1070.25,1076.25,,1076.25,19.0,-0.06345454545454562,0.39663533857944033,0.3292673443155847,0.06885705852126217,0.46698146135810903,0.19155322727306034,0.0,0.49,297.8,0.7375,0.002476494291470786,-0.12272727272727273,1.6204417030955827
91,1998-10-20,0.51,1092.0,1101.0,1078.75,1081.75,,1081.75,25.0,0.008545454545454379,0.3962563774851925,0.3337213782878375,0.06494277129112314,0.46360692087008376,0.20383583570559122,0.0,-0.54,297.8,0.7335,0.0024630624580255205,-0.10254545454545455,1.6079319800679543
92,1998-10-21,0.09,1080.5,1091.25,1074.25,1082.75,,1082.75,19.0,-0.0010909090909092575,0.36468974481066707,0.3362624881619649,0.06332112110433466,0.46290473037063423,0.2096202459532956,0.0,-0.28,296.8,0.7290000000000001,0.0024561994609164422,-0.05254545454545456,1.5571700568205729
93,1998-10-22,1.27,1084.0,1096.75,1077.75,1096.5,,1096.5,57.0,0.008727272727272561,0.3671486724357312,0.338411476929396,0.06230060236313871,0.46301268165567344,0.21381027220311857,0.0,0.74,293.6,0.7265,0.0024744550408719347,-0.04600000000000002,1.55977633724269
94,1998-10-23,-1.14,1091.5,1093.5,1082.5,1084.0,,1084.0,32.0,-0.0116363636363638,0.36906895715688715,0.3405599275906404,0.06125571692324814,0.4630713614371367,0.21804849374414415,0.0,-0.55,294.2,0.7240000000000001,0.0024609109449354183,-0.056000000000000015,1.5612383498957438
95,1998-10-26,0.46,1083.0,1099.5,1083.0,1089.0,,1089.0,45.0,0.004181818181818018,0.36803397770285645,0.34267667948389713,0.060126249833487674,0.4629291791508725,0.22242417981692178,0.0,-0.83,293.6,0.7165,0.0024403950953678475,-0.09163636363636365,1.5560262347073854
96,1998-10-27,-0.48,1098.0,1101.75,1078.75,1083.75,,1083.75,59.0,0.025999999999999832,0.3705418480069724,0.3447605519699319,0.05904038235587972,0.4628413166816913,0.22667978725817245,0.0,-1.24,294.8,0.7105,0.0024101085481682497,-0.07636363636363638,1.5401904206904196
97,1998-10-28,-0.32,1079.0,1088.0,1075.0,1080.25,,1080.25,17.0,-0.005818181818181985,0.3684613210368205,0.34668512723466,0.05802946983050116,0.46274406689566233,0.23062618757365766,0.0,-0.64,294.4,0.705,0.002394701086956522,-0.07690909090909091,1.540388205912985
98,1998-10-29,2.29,1084.0,1105.25,1080.25,1105.0,,1105.0,65.0,0.05654545454545437,0.3643323805100909,0.34822121528528954,0.05734157433262845,0.46290436395054646,0.23353806662003262,0.0,0.53,296.8,0.7145,0.0024073450134770888,-0.09781818181818182,1.523814282099353
99,1998-10-30,2.38,1105.0,1131.25,1105.0,1131.25,,1131.25,130.0,0.11909090909090891,0.37485925101803846,0.34975365019723426,0.05689698443969702,0.4635476190766283,0.23595968131784023,0.0,1.71,295.7,0.7240000000000001,0.002448427460263781,-0.04963636363636364,1.538516557809242
