Date,CapitalGrowth
12/22/1999,"$103,933.30 "
12/23/1999,"$103,933.30 "
12/27/1999,"$103,933.30 "
12/28/1999,"$103,933.30 "
12/29/1999,"$103,933.30 "
12/30/1999,"$103,933.30 "
12/31/1999,"$103,933.30 "
1/3/2000,"$119,542.63 "
1/4/2000,"$119,542.63 "
1/5/2000,"$119,542.63 "
1/6/2000,"$119,542.63 "
1/7/2000,"$119,542.63 "
1/10/2000,"$119,542.63 "
1/11/2000,"$119,542.63 "
1/12/2000,"$119,542.63 "
1/13/2000,"$119,542.63 "
1/14/2000,"$119,542.63 "
1/18/2000,"$119,542.63 "
1/19/2000,"$119,542.63 "
1/20/2000,"$119,542.63 "
1/21/2000,"$119,542.63 "
1/24/2000,"$119,542.63 "
1/25/2000,"$119,542.63 "
1/26/2000,"$119,542.63 "
1/27/2000,"$119,542.63 "
1/28/2000,"$119,542.63 "
1/31/2000,"$119,542.63 "
2/1/2000,"$119,542.63 "
2/2/2000,"$119,542.63 "
2/3/2000,"$119,542.63 "
2/4/2000,"$119,542.63 "
2/7/2000,"$119,542.63 "
2/8/2000,"$119,542.63 "
2/9/2000,"$119,542.63 "
2/10/2000,"$119,542.63 "
2/11/2000,"$119,542.63 "
2/14/2000,"$119,542.63 "
2/15/2000,"$119,542.63 "
2/16/2000,"$119,542.63 "
2/17/2000,"$119,542.63 "
2/18/2000,"$119,542.63 "
2/22/2000,"$119,542.63 "
2/23/2000,"$119,542.63 "
2/24/2000,"$119,542.63 "
2/25/2000,"$119,542.63 "
2/28/2000,"$119,542.63 "
2/29/2000,"$119,542.63 "
3/1/2000,"$119,542.63 "
3/2/2000,"$119,542.63 "
3/3/2000,"$119,542.63 "
3/6/2000,"$119,542.63 "
3/7/2000,"$119,542.63 "
3/8/2000,"$119,542.63 "
3/9/2000,"$119,542.63 "
3/10/2000,"$119,542.63 "
3/13/2000,"$119,542.63 "
3/14/2000,"$119,542.63 "
3/15/2000,"$119,542.63 "
3/16/2000,"$119,542.63 "
3/17/2000,"$119,542.63 "
3/20/2000,"$119,542.63 "
3/21/2000,"$119,542.63 "
3/22/2000,"$119,542.63 "
3/23/2000,"$128,621.29 "
3/24/2000,"$128,621.29 "
3/27/2000,"$128,621.29 "
3/28/2000,"$128,621.29 "
3/29/2000,"$128,621.29 "
3/30/2000,"$128,621.29 "
3/31/2000,"$128,621.29 "
4/3/2000,"$128,621.29 "
4/4/2000,"$128,621.29 "
4/5/2000,"$128,621.29 "
4/6/2000,"$128,621.29 "
4/7/2000,"$128,621.29 "
4/10/2000,"$128,621.29 "
4/11/2000,"$128,621.29 "
4/12/2000,"$128,621.29 "
4/13/2000,"$128,621.29 "
4/14/2000,"$128,621.29 "
4/17/2000,"$128,621.29 "
4/18/2000,"$128,621.29 "
4/19/2000,"$128,621.29 "
4/20/2000,"$128,621.29 "
4/24/2000,"$128,621.29 "
4/25/2000,"$128,621.29 "
4/26/2000,"$128,621.29 "
4/27/2000,"$128,621.29 "
4/28/2000,"$128,621.29 "
5/1/2000,"$128,621.29 "
5/2/2000,"$128,621.29 "
5/3/2000,"$128,621.29 "
5/4/2000,"$128,621.29 "
5/5/2000,"$128,621.29 "
5/8/2000,"$128,621.29 "
5/9/2000,"$128,621.29 "
5/10/2000,"$128,621.29 "
5/11/2000,"$128,621.29 "
5/12/2000,"$128,621.29 "
5/15/2000,"$128,621.29 "
5/16/2000,"$128,621.29 "
5/17/2000,"$128,621.29 "
5/18/2000,"$128,621.29 "
5/19/2000,"$128,621.29 "
5/22/2000,"$128,621.29 "
5/23/2000,"$128,621.29 "
5/24/2000,"$128,621.29 "
5/25/2000,"$128,621.29 "
5/26/2000,"$128,621.29 "
5/30/2000,"$128,621.29 "
5/31/2000,"$128,621.29 "
6/1/2000,"$128,621.29 "
6/2/2000,"$128,621.29 "
6/5/2000,"$128,621.29 "
6/6/2000,"$128,621.29 "
6/7/2000,"$128,621.29 "
6/8/2000,"$128,621.29 "
6/9/2000,"$128,621.29 "
6/12/2000,"$128,621.29 "
6/13/2000,"$128,621.29 "
6/14/2000,"$128,621.29 "
6/15/2000,"$128,621.29 "
6/16/2000,"$128,621.29 "
6/19/2000,"$128,621.29 "
6/20/2000,"$128,621.29 "
6/21/2000,"$128,621.29 "
6/22/2000,"$128,621.29 "
6/23/2000,"$128,621.29 "
6/26/2000,"$128,621.29 "
6/27/2000,"$128,621.29 "
6/28/2000,"$128,621.29 "
6/29/2000,"$128,621.29 "
6/30/2000,"$128,621.29 "
7/3/2000,"$128,621.29 "
7/5/2000,"$125,668.36 "
7/6/2000,"$125,668.36 "
7/7/2000,"$125,668.36 "
7/10/2000,"$125,668.36 "
7/11/2000,"$125,668.36 "
7/12/2000,"$125,668.36 "
7/13/2000,"$125,668.36 "
7/14/2000,"$125,668.36 "
7/17/2000,"$125,668.36 "
7/18/2000,"$125,668.36 "
7/19/2000,"$125,668.36 "
7/20/2000,"$125,668.36 "
7/21/2000,"$125,668.36 "
7/24/2000,"$125,668.36 "
7/25/2000,"$125,668.36 "
7/26/2000,"$125,668.36 "
7/27/2000,"$125,668.36 "
7/28/2000,"$125,668.36 "
7/31/2000,"$125,668.36 "
8/1/2000,"$125,668.36 "
8/2/2000,"$125,668.36 "
8/3/2000,"$125,668.36 "
8/4/2000,"$125,668.36 "
8/7/2000,"$125,668.36 "
8/8/2000,"$125,668.36 "
8/9/2000,"$125,668.36 "
8/10/2000,"$125,668.36 "
8/11/2000,"$125,668.36 "
8/14/2000,"$125,668.36 "
8/15/2000,"$125,668.36 "
8/16/2000,"$125,668.36 "
8/17/2000,"$125,668.36 "
8/18/2000,"$125,668.36 "
8/21/2000,"$125,668.36 "
8/22/2000,"$125,668.36 "
8/23/2000,"$125,668.36 "
8/24/2000,"$125,668.36 "
8/25/2000,"$125,668.36 "
8/28/2000,"$125,668.36 "
8/29/2000,"$125,668.36 "
8/30/2000,"$125,668.36 "
8/31/2000,"$125,668.36 "
9/1/2000,"$125,668.36 "
9/5/2000,"$125,668.36 "
9/6/2000,"$125,668.36 "
9/7/2000,"$125,668.36 "
9/8/2000,"$125,668.36 "
9/11/2000,"$125,668.36 "
9/12/2000,"$125,668.36 "
9/13/2000,"$125,668.36 "
9/14/2000,"$125,668.36 "
9/15/2000,"$125,668.36 "
9/18/2000,"$125,668.36 "
9/19/2000,"$125,668.36 "
9/20/2000,"$125,668.36 "
9/21/2000,"$125,668.36 "
9/22/2000,"$125,668.36 "
9/25/2000,"$125,668.36 "
9/26/2000,"$125,668.36 "
9/27/2000,"$125,668.36 "
9/28/2000,"$125,668.36 "
9/29/2000,"$125,668.36 "
10/2/2000,"$125,668.36 "
10/3/2000,"$125,668.36 "
10/4/2000,"$125,668.36 "
10/5/2000,"$125,668.36 "
10/6/2000,"$125,668.36 "
10/10/2000,"$125,668.36 "
10/11/2000,"$125,668.36 "
10/12/2000,"$138,074.08 "
10/13/2000,"$138,074.08 "
10/16/2000,"$138,074.08 "
10/17/2000,"$138,074.08 "
10/18/2000,"$138,074.08 "
