,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
209,7/13/1998,1185.75,9.27,5.45,3.82,0.002748414,-0.012919897,-0.10674216,0.166042361,0.132758972,-1.442409821,,0,
210,7/14/1998,1199.5,9.27,5.47,3.8,0.011596036,-0.005235602,-0.11826458,0.16822561,0.125574862,-1.449478727,,0,
211,7/15/1998,1196.5,9.23,5.46,3.77,-0.002501042,-0.007894737,-0.113012738,0.170611037,0.119319168,-1.361763637,,0,
212,7/16/1998,1204.25,9.24,5.48,3.76,0.006477225,-0.00265252,-0.122539689,0.172661801,0.112488168,-1.361203548,,0,
213,7/17/1998,1208,9.24,5.49,3.75,0.003113971,-0.002659574,-0.128224268,0.174461312,0.105446583,-1.339384915,,0,
214,7/20/1998,1205.5,9.23,5.47,3.76,-0.002069536,0.002666667,-0.264811829,0.178481482,0.094494469,-2.01312928,,0,
215,7/21/1998,1185.75,9.21,5.46,3.75,-0.016383243,-0.002659574,-0.243654097,0.18097186,0.083898991,-1.809966963,,0,
216,7/22/1998,1185.75,9.21,5.47,3.74,0,-0.002666667,-0.249779629,0.182933636,0.073145881,-1.765260437,,0,
217,7/23/1998,1157,9.22,5.46,3.76,-0.024246258,0.005347594,-0.265055849,0.184364529,0.061885558,-1.773342247,,0,
218,7/24/1998,1161,9.21,5.48,3.73,0.003457217,-0.007978723,-0.242568791,0.185924669,0.052041042,-1.584565586,,0,
219,7/27/1998,1162,9.22,5.49,3.73,0.000861326,0,-0.24848528,0.186863886,0.041914129,-1.554069192,,0,
220,7/28/1998,1154.5,9.24,5.49,3.75,-0.006454389,0.00536193,-0.23361243,0.187533258,0.032542751,-1.419242559,,0,
221,7/29/1998,1143,9.25,5.52,3.73,-0.009961022,-0.005333333,-0.221622843,0.187255194,0.023268397,-1.307794114,,0,
222,7/30/1998,1159.5,9.25,5.52,3.73,0.014435696,0,-0.282443255,0.187324583,0.012392022,-1.573927305,,0,
223,7/31/1998,1135,9.38,5.52,3.86,-0.021129797,0.034852547,-0.367118491,0.190232252,0.000449775,-1.932207933,,0,
224,8/3/1998,1131,9.39,5.46,3.93,-0.003524229,0.018134715,-0.372814641,0.193389751,-0.011031385,-1.870746792,,0,
225,8/4/1998,1092,9.45,5.44,4.01,-0.034482759,0.020356234,-0.43744713,0.197807968,-0.023906995,-2.090614143,,0,
226,8/5/1998,1098.75,9.47,5.43,4.04,0.006181319,0.007481297,-0.432170222,0.201065489,-0.036708266,-1.966831598,,0,
227,8/6/1998,1106.75,9.48,5.43,4.05,0.007281001,0.002475248,-0.430608675,0.203528382,-0.049399555,-1.873002261,,0,
228,8/7/1998,1106.5,9.5,5.39,4.11,-0.000225887,0.014814815,-0.434106571,0.204901463,-0.062381719,-1.814163974,,0,
